5011,συμμέτριος,a,aps---cn2-,συμμέτριος συμμέτριος συμμέτριον,,,,,0
94764,σ05508,συμφλάω,v,----------,,,,,,0
94766,σ05510,συμφλέγω,v,----------,,,,,,0
94767,σ05511,συμφλογίζω,v,----------,,,,,,0
94768,σ05512,συμφλυαρέω,v,----------,,,,,,0
94769,σ05513,συμφοβέω,v,----------,,,,,,0
94770,σ05514,συμφοιτάω,v,----------,,,,,,0
94771,σ05515,συμφοίτησις,n,n-s---fn3v,συμφοιτησέως,,,,,0
94773,σ05517,συμφονεύω,v,----------,,,,,,0
94774,σ05518,συμφορά,n,n-s---fn1l,συμφορᾶς,,,/sym.pʰo.rǎː/,,0
94775,σ05519,συμφοράζω,v,----------,,,,,,0
94776,σ05520,συμφοραίνω,v,----------,,,,,,0
94778,σ05522,συμφορέω,v,----------,,,,,,0
94779,σ05523,συμφόρημα,n,n-s---nn3t,συμφορήματος,,,,,0
94780,σ05524,συμφόρησις,n,n-s---fn3v,συμφορησέως,,,,,0
94781,σ05525,συμφορητός,a,----------,,,,,,0
94783,σ05527,σύμφορος,a,aps---cn2-,σύμφορος σύμφορος σύμφορον,,,,,0
94784,σ05528,συμφράδμων,n,----------,,,,,,0
94785,σ05529,συμφράζομαι,v,----------,,,,,,0
94786,σ05530,συμφράκτωρ,n,n-s---mn3r,συμφράκτορος,,,,,0
94787,σ05531,σύμφραξις,n,n-s---fn3v,συμφραξέως,,,,,0
94788,σ05532,σύμφρασις,n,n-s---fn3v,συμφρασέως,,,,,0
94789,σ05533,συμφράσσω,v,----------,,,,,,0
94736,σ05480,σύμφανσις,n,n-s---fn3v,συμφανσέως,,,,,0
94793,σ05537,συμφροσύνη,n,n-s---fn1e,συμφροσύνης,,,,,0
94795,σ05539,συμφρυγμός,n,----------,,,,,,0
94796,σ05540,συμφρύγω,v,----------,,,,,,0
94797,σ05541,σύμφρων,n,----------,,,,,,0
94799,σ05543,συμφυγαδεύω,v,----------,,,,,,0
94800,σ05544,συμφυγάς,n,n-s---fn3d,συμφυγάδος,,,,,0
94801,σ05545,συμφύγιον,n,----------,,,,,,0
94802,σ05546,συμφυή,n,n-s---fn1e,συμφυῆς,,,,,0
94804,σ05548,συμφυί̈α,n,n-s---fn1l,συμφυί̈ας,,,,,0
94805,σ05549,συμφυλακίτης,n,n-s---mn1e,συμφυλακίτου,,,,,0
94806,σ05550,συμφύλαξ,n,----------,,,,,,0
94807,σ05551,συμφυλάσσω,v,----------,,,,,,0
94808,σ05552,συμφυλέτης,n,n-s---mn1e,συμφυλέτου,,,,,0
94809,σ05553,συμφυλία,n,n-s---fn1l,συμφυλίας,,,,,0
94810,σ05554,σύμφυλος,a,aps---cn2-,σύμφυλος σύμφυλος σύμφυλον,,,,,0
94811,σ05555,συμφύνω,v,----------,,,,,,0
94812,σ05556,συμφυράω,v,----------,,,,,,0
94814,σ05559,σύμφυρσις,n,n-s---fn3v,συμφυρσέως,,,,,0
94815,σ05560,σύμφυρτος,a,aps---cn2-,σύμφυρτος σύμφυρτος σύμφυρτον,,,,,0
94816,σ05561,συμφύρω,v,----------,,,,,,0
94817,σ05562,συμφυσάω,v,----------,,,,,,0
94818,σ05563,σύμφυσις,n,n-s---fn3v,συμφυσέως,,,,,0
94819,σ05564,συμφυτεύω,v,----------,,,,,,0
94822,σ05567,σύμφυτος,a,aps---cn2-,σύμφυτος σύμφυτος σύμφυτον,,,,,0
94823,σ05568,συμφύω,v,----------,,,,,,0
94824,σ05569,συμφωνέω,v,----------,,,,,,0
94825,σ05570,συμφώνημα,n,n-s---nn3t,συμφωνήματος,,,,,0
94826,σ05571,συμφώνησις,n,n-s---fn3v,συμφωνησέως,,,,,0
94827,σ05572,συμφωνία,n,n-s---fn1l,συμφωνίας,,,,,0
94829,σ05574,συμφωνικός,a,aps---mn1-,συμφωνικός συμφωνική συμφωνικόν,,,,,0
94830,σ05576,σύμφωνος,a,aps---cn2-,σύμφωνος σύμφωνος σύμφωνον,,,/sým.pʰɔː.non/,,0
94831,σ05577,συμφωνούντως,r,----------,,,,,,0
94832,σ05578,συμφωτίζομαι,v,----------,,,,,,0
94833,σ05579,σύμψαλμα,n,n-s---nn3t,συμψάλματος,,,,,0
94834,σ05580,σύμψαυσις,n,n-s---fn3v,συμψαυσέως,,,,,0
94835,σ05581,συμψαύω,v,----------,,,,,,0
94836,σ05582,συμψάω,v,----------,,,,,,0
94837,σ05583,συμψέλια,n,n-p---nn2-,συμψελίων,,,,,0
94838,σ05584,συμψελλίζω,v,----------,,,,,,0
94839,σ05585,συμψεύδομαι,v,----------,,,,,,0
94841,σ05587,συμψηφιστής,n,----------,,,,,,0
94842,σ05588,συμψηφοθετέω,v,----------,,,,,,0
94844,σ05590,σύμψηφος,a,aps---cn2-,σύμψηφος σύμψηφος σύμψηφον,,,,,0
94845,σ05591,συμψιθυρίζω,v,----------,,,,,,0
94846,σ05592,συμψιλόω,v,----------,,,,,,0
94792,σ05536,συμφροντίζω,v,----------,,,,,,0
94850,σ05596,σύν,n,,,,,,,0
94851,σ05598,συναβολέω,v,----------,,,,,,0
94852,σ05599,συναγάλλομαι,v,----------,,,,,,0
94853,σ05600,συναγανακτέω,v,----------,,,,,,0
94855,σ05602,συναγαπάω,v,----------,,,,,,0
94856,σ05603,συναγγέλλω,v,----------,,,,,,0
94857,σ05604,συνάγγελος,n,n-s---mn2-,συναγγέλου,,,,,0
94858,σ05605,συναγγία,n,n-s---fn1l,συναγγίας,,,,,0
94859,σ05606,συναγείρω,v,----------,,,,,,0
94860,σ05607,συναγελάζομαι,v,----------,,,,,,0
94861,σ05608,συναγελασμός,n,----------,,,,,,0
94864,σ05611,συναγερμός,n,----------,,,,,,0
94865,σ05612,συναγιάζω,v,----------,,,,,,0
94866,σ05613,συναγινέω,v,----------,,,,,,0
94867,σ05614,συνάγκεια,n,n-s---fn1s,συνάγκειας,,,,,0
94868,σ05615,σύναγκος,n,n-s---nn3v,σύναγκεος,,,,,0
94869,σ05616,συναγλαί̈ζω,v,----------,,,,,,0
94870,σ05617,σύναγμα,n,n-s---nn3t,συνάγματος,,,,,0
94872,σ05619,συναγνοέω,v,----------,,,,,,0
94873,σ05620,συνάγνυμι,v,----------,,,,,,0
94874,σ05621,συναγοράζω,v,----------,,,,,,0
94875,σ05622,συναγορασμός,n,----------,,,,,,0
94877,σ05624,συναγόρευσις,n,n-s---fn3v,συναγορευσέως,,,,,0
94878,σ05625,συναγορεύω,v,----------,,,,,,0
94879,σ05626,συναγορέω,v,----------,,,,,,0
94880,σ05627,συναγραυλέω,v,----------,,,,,,0
94881,σ05628,συναγρεύω,v,----------,,,,,,0
94882,σ05629,συναγριαίνω,v,----------,,,,,,0
94883,σ05630,συναγρίς,n,n-s---fn3d,συναγρίδος,,,,,0
94885,σ05632,συναγρώσσω,v,----------,,,,,,0
94886,σ05633,συναγυρμός,n,----------,,,,,,0
94887,σ05634,συναγυρτός,a,aps---cn2-,συναγυρτός συναγυρτός συναγυρτόν,,,,,0
94888,σ05635,συνάγχη,n,n-s---fn1e,συνάγχης,,,,,0
94889,σ05636,συναγχίαι,n,n-p---fn1l,συναγχιῶν,,,,,0
94891,σ05638,σύναγχος,n,n-s---mn2-,συνάγχου,,,,,0
94892,σ05639,συνάγω,v,----------,,,,/sy.ná.ɡɔː/,,0
94893,σ05640,συναγωγεύς,n,n-s---mn3v,συναγωγέως,,,,,0
94894,σ05641,συναγωγή,n,n-s---fn1e,συναγωγῆς,,,/sy.na.ɡɔː.ɡɛ̌ː/,,0
94895,σ05642,συναγωγία,n,n-s---fn1l,συναγωγίας,,,,,0
94897,σ05644,συναγώγιον,n,n-s---nn2-,συναγωγίου,,,,,0
94898,σ05645,συναγωγός,a,aps---cn2-,συναγωγός συναγωγός συναγωγόν,,,,,0
94899,σ05646,συναγωνιάω,v,----------,,,,,,0
94900,σ05647,συναγωνίζομαι,v,----------,,,,,,0
94902,σ05649,συναγωνιστής,n,n-s---mn1e,συναγωνιστού,,,,,0
94848,σ05594,συμψύχομαι,v,----------,,,,,,0
94905,σ05652,συναδικέω,v,----------,,,,,,0
94906,σ05653,συναδολεσχέω,v,----------,,,,,,0
94907,σ05654,συναδόλεσχος,n,n-s---mn2-,συναδολέσχου,,,,,0
94908,σ05655,συναδοξέω,v,----------,,,,,,0
94909,σ06404,συνᾴδω,v,----------,,,,,,0
94910,σ05656,συνάεθλος,n,n-s---mn2-,συναέθλου,,,,,0
94911,σ05657,συναείδω,v,----------,,,,,,0
94912,σ05658,συναείρω,v,----------,,,,,,0
94914,σ05660,συναθετέω,v,----------,,,,,,0
94915,σ05661,συναθλέω,v,----------,,,,,,0
94916,σ05662,συναθροίζω,v,----------,,,,,,0
94918,σ05664,συνάθροισμα,n,n-s---nn3t,συναθροίσματος,,,,,0
94919,σ05665,συναθροισμός,n,----------,,,,,,0
94920,σ05666,συναθροιστής,n,n-s---mn1e,συναθροιστού,,,,,0
94922,σ05668,συναθύρω,v,----------,,,,,,0
94923,σ05669,συναί̈γδην,r,----------,,,,,,0
94924,σ05670,συναιγλία,n,----------,,,,,,0
94925,σ05671,συναιθριάζω,v,----------,,,,,,0
94926,σ05672,συναιθύσσω,v,----------,,,,,,0
94928,σ05674,σύναιμος,a,aps---cn2-,σύναιμος σύναιμος σύναιμον,,,,,0
94929,σ05675,συναίμων,a,aps---cn3n,συναίμων συναίμων συναίμον,,,,,0
94930,σ05676,συναίνεσις,n,n-s---fn3v,συναινεσέως,,,,,0
94931,σ05677,συναινετέον,n,----------,,,,,,0
94932,σ05678,συναινετικόν,n,----------,,,,,,0
94933,σ05679,συναινέω,v,----------,,,,,,0
94935,σ05681,σύναινος,a,aps---cn2-,σύναινος σύναινος σύναινον,,,,,0
94936,σ05682,συναίνυμαι,v,----------,,,,,,0
94937,σ05683,συναίρεμα,n,n-s---nn3t,συναιρέματος,,,,,0
94938,σ05684,συναίρεσις,n,n-s---fn3v,συναιρεσέως,,,/sy.naí̯.re.sis/,,0
94940,σ05686,συναιρετέον,n,----------,,,,,,0
94941,σ05687,συναιρετικός,a,aps---mn1-,συναιρετικός συναιρετική συναιρετικόν,,,,,0
94942,σ05688,συναιρετίστης,n,n-s---mn1e,συναιρετίστου,,,,,0
94943,σ05689,συναιρέω,v,----------,,,,,,0
94944,σ05690,συναίρω,v,----------,,,,,,0
94945,σ05691,συναισθάνομαι,v,----------,,,,,,0
94946,σ05692,συναίσθημα,n,n-s---nn3t,συναισθήματος,,,,,0
94947,σ05693,συναίσθησις,n,n-s---fn3v,συναισθησέως,,,,,0
94948,σ05694,συναισθητικός,r,----------,,,,,,0
94949,σ05695,συναί̈σσω,v,----------,,,,,,0
94951,σ05697,συναιτέω,v,----------,,,,,,0
94952,σ05698,συναιτιάομαι,v,----------,,,,,,0
94954,σ05700,συναιχμάζω,v,----------,,,,,,0
94955,σ05701,συναιχμαλωτίζω,v,----------,,,,,,0
94904,σ05651,συναδηλέομαι,v,----------,,,,,,0
94959,σ05705,συναιώρησις,n,n-s---fn3v,συναιωρησέως,,,,,0
94960,σ05706,συνακαταληπτέομαι,v,----------,,,,,,0
94961,σ05707,συνακμάζω,v,----------,,,,,,0
94963,σ05709,συνακολουθέω,v,----------,,,,,,0
94964,σ05710,συνακολουθία,n,n-s---fn1l,συνακολουθίας,,,,,0
94966,σ05712,συνακοντίζω,v,----------,,,,,,0
94967,σ05713,συνάκοος,n,n-s---mn2-,συνακόου,,,,,0
94968,σ05714,συνακούω,v,----------,,,,,,0
94969,σ05715,συνακρατίζομαι,v,----------,,,,,,0
94970,σ05716,συνακριβόω,v,----------,,,,,,0
94971,σ05717,συνακροάομαι,v,----------,,,,,,0
94972,σ05718,συνακτέον,n,----------,,,,,,0
94973,σ05719,συνακτήρ,n,n-s---mn3r,συνακτῆρος,,,,,0
94974,σ05720,συνακτήριον,n,n-s---nn2-,συνακτηρίου,,,,,0
94976,σ05722,συνακτός,a,aps---mn1-,συνακτός συνακτή συνακτόν,,,,,0
94977,σ05723,συναλαλάζω,v,----------,,,,,,0
94979,σ05725,συναλγέω,v,----------,,,,,,0
94980,σ05726,συναλγηδών,n,n-s---fn3n,συναλγηδόνος,,,,,0
94981,σ05727,συναλγύνω,v,----------,,,,,,0
94982,σ05728,συναλδής,a,aps---cn5s,συναλδής συναλδής συναλδές,,,,,0
94983,σ05729,συναλεαίνω,v,----------,,,,,,0
94984,σ05730,συνάλειμμα,n,----------,,,,,,0
94986,σ05732,συναλειπτός,a,aps---cn2-,συναλειπτός συναλειπτός συναλειπτόν,,,,,0
94987,σ05733,συναλείφω,v,----------,,,,,,0
94988,σ05734,συναλέω,v,----------,,,,,,0
94989,σ05735,συναληθεύω,v,----------,,,,,,0
94990,σ05736,συναλήθω,v,----------,,,,,,0
94991,σ05737,συναλητεύω,v,----------,,,,,,0
94992,σ05738,συνάλθομαι,v,----------,,,,,,0
94993,σ05739,συναλιάζω,v,----------,,,,,,0
94994,σ05740,συναλίζω,n,----------,,,,,,0
94995,σ05742,συναλίζω,n,----------,,,,,,0
94997,σ05744,συναλίσκομαι,v,----------,,,,,,0
94998,σ05745,συναλιφή,n,n-s---fn1e,συναλιφῆς,,,,,0
94999,σ05746,συναλλαγή,n,n-s---fn1e,συναλλαγῆς,,,,,0
95000,σ05747,συνάλλαγμα,n,n-s---nn3t,συναλλάγματος,,,,,0
95003,σ05750,συναλλαγματογράφος,n,n-s---mn2-,συναλλαγματογράφου,,,,,0
95004,σ05751,συναλλακτέομαι,v,----------,,,,,,0
95005,σ05752,συναλλακτεύω,v,----------,,,,,,0
95006,σ05753,συναλλακτής,n,n-s---mn1e,συναλλακτού,,,,,0
95007,σ05754,συναλλακτικός,a,aps---mn1-,συναλλακτικός συναλλακτική συναλλακτικόν,,,,,0
95008,σ05755,συνάλλαξις,n,n-s---fn3v,συναλλαξέως,,,,,0
95516,σ06261,συνδιαθέω,v,----------,,,,,,0
94958,σ05704,συναιωρέομαι,v,----------,,,,,,0
95011,σ05758,συναλλοίωσις,n,n-s---fn3v,συναλλοιωσέως,,,,,0
95012,σ05759,συνάλλομαι,v,----------,,,,,,0
95013,σ05760,συναλλύω,v,----------,,,,,,0
95014,σ05761,σύναλμα,n,n-s---nn3t,συνάλματος,,,,,0
95016,σ05763,συναλοάω,v,----------,,,,,,0
95018,σ05765,σύναλος,a,aps---cn2-,σύναλος σύναλος σύναλον,,,,,0
95019,σ05766,συναλύω,v,----------,,,,,,0
95020,σ05767,συναλωνιάζω,v,----------,,,,,,0
95021,σ05768,συνάμα,r,----------,,,,,,0
95022,σ05769,συναμαθύνω,v,----------,,,,,,0
95024,σ05771,συναμαρτάνω,v,----------,,,,,,0
95025,σ05772,συναμείβω,v,----------,,,,,,0
95026,σ05773,συναμιλλάομαι,v,----------,,,,,,0
95027,σ05774,συνάμιλλος,n,----------,,,,,,0
95028,σ05775,σύναμμα,n,n-s---nn3t,συνάμματος,,,,,0
95030,σ05777,συναμπέχω,v,----------,,,,,,0
95031,σ05778,συναμπρεύω,v,----------,,,,,,0
95032,σ05779,συναμύνω,v,----------,,,,,,0
95033,σ05780,συναμφιάζω,v,----------,,,,,,0
95034,σ05781,συναμφιβάλλομαι,v,----------,,,,,,0
95035,σ05782,συναμφότεροι,n,----------,,,,,,0
95036,σ05783,συνάμφω,n,----------,,,,,,0
95038,σ05785,συναναβακχεύω,v,----------,,,,,,0
95039,σ05786,συναναβιβάζω,v,----------,,,,,,0
95041,σ05788,συναναβοάω,v,----------,,,,,,0
95042,σ05789,συναναβόσκομαι,v,----------,,,,,,0
95044,σ05791,συναναγκάζω,v,----------,,,,,,0
95045,σ05792,συναναγκασμός,n,----------,,,,,,0
95046,σ05793,συνανάγνωσις,n,n-s---fn3v,συναναγνωσέως,,,,,0
95047,σ05794,συναναγράφω,v,----------,,,,,,0
95048,σ05795,συναναγυμνόω,v,----------,,,,,,0
95049,σ05796,συνανάγω,v,----------,,,,,,0
95051,σ05798,συναναδεύω,v,----------,,,,,,0
95052,σ05799,συναναδέχομαι,v,----------,,,,,,0
95053,σ05800,συναναδίδωμι,v,----------,,,,,,0
95054,σ05801,συναναδίπλωσις,n,n-s---fn3v,συναναδιπλωσέως,,,,,0
95055,σ05802,συναναζεύγνυμι,v,----------,,,,,,0
95056,σ05803,συναναζέω,v,----------,,,,,,0
95058,σ05805,συναναζωπυρέω,v,----------,,,,,,0
95059,σ05806,συναναθεματίζω,v,----------,,,,,,0
95060,σ05807,συναναθλέω,v,----------,,,,,,0
95061,σ05808,συναναθρηνέω,v,----------,,,,,,0
95064,σ05811,συναναιρέω,v,----------,,,,,,0
95065,σ05812,συνανακαθαίρω,v,----------,,,,,,0
95010,σ05757,συναλλοιόω,v,----------,,,,,,0
95069,σ05816,συνανακεφαλαιόω,v,----------,,,,,,0
95070,σ05817,συνανακηρύσσω,v,----------,,,,,,0
95071,σ05818,συνανακινδυνεύω,v,----------,,,,,,0
95072,σ05819,συνανακινέω,v,----------,,,,,,0
95074,σ05821,συνανακλίνομαι,v,----------,,,,,,0
95075,σ05822,συνανακομίζω,v,----------,,,,,,0
95076,σ05823,συνανακόπτω,v,----------,,,,,,0
95077,σ05824,συνανακράω,v,----------,,,,,,0
95078,σ05825,συνανακρίνω,v,----------,,,,,,0
95080,σ05827,συνανακυλίομαι,v,----------,,,,,,0
95081,σ05828,συνανακύπτω,v,----------,,,,,,0
95082,σ05829,συναναλαμβάνω,v,----------,,,,,,0
95083,σ05830,συναναλάμπω,v,----------,,,,,,0
95084,σ05831,συναναληψία,n,n-s---fn1l,συναναληψίας,,,,,0
95085,σ05832,συναναλίσκω,v,----------,,,,,,0
95087,σ05834,συναναλύω,v,----------,,,,,,0
95088,σ05835,συναναμαλάσσω,v,----------,,,,,,0
95089,σ05836,συναναμείγνυμι,v,----------,,,,,,0
95090,σ05837,συναναμέλπω,v,----------,,,,,,0
95092,σ05839,συναναμιμνήσκω,v,----------,,,,,,0
95094,σ05841,συναναμίσγω,v,----------,,,,,,0
95095,σ05842,συνανανεόομαι,v,----------,,,,,,0
95096,σ05843,συναναξηραίνω,v,----------,,,,,,0
95097,σ05844,συναναπάλλομαι,v,----------,,,,,,0
95098,σ05845,συναναπαύομαι,v,----------,,,,,,0
95099,σ05846,συναναπείθω,v,----------,,,,,,0
95101,σ05848,συναναπηδάω,v,----------,,,,,,0
95102,σ05849,συναναπίμπλημι,v,----------,,,,,,0
95103,σ05850,συναναπίπτω,v,----------,,,,,,0
95104,σ05851,συναναπλάσσω,v,----------,,,,,,0
95105,σ05852,συναναπλέκω,v,----------,,,,,,0
95107,σ05854,συναναπλόω,v,----------,,,,,,0
95108,σ05855,συναναπράσσω,v,----------,,,,,,0
95109,σ05856,συναναπτύω,v,----------,,,,,,0
95110,σ05857,συνανάπτω,v,----------,,,,,,0
95111,σ05858,συναναριθμέω,v,----------,,,,,,0
