@,24976,24968
39754,@,25828,25992
39755,@,25829,25992
39756,@,25830,25992
39757,@,25831,25992
39758,@,25832,25992
39759,@,25833,25832
39760,@,25834,25832
39761,@,25835,25770
39762,@,25836,25992
39763,@,25837,25992
39764,@,25838,25768
39765,@,25839,25992
39766,@,25840,25992
39767,@,25841,25840
39768,@,25842,25840
39769,@,25843,25992
39770,@,25845,25992
39771,@,25846,25992
39772,@,25847,25992
39773,@,25848,26018
39774,@,25849,25992
39775,@,25850,25992
39776,@,25851,25992
39777,@,25852,25992
39778,@,25853,25992
39779,@,25854,25992
39780,@,25855,25992
39781,@,25856,25855
39782,@,25857,25855
39783,@,25858,25855
39784,@,25859,25992
39785,@,25860,25992
39786,@,25861,25860
39787,@,25862,25860
39788,@,25864,25992
39789,@,25759,25992
39790,@,25867,25864
39791,@,25868,25992
39792,@,25869,25992
39793,@,25870,25992
39794,@,25871,25992
39795,@,25872,25992
39796,@,25873,25992
39797,@,25874,25456
39798,%p,25875,25658
39799,%p,25875,25779
39800,%p,25875,25876
39801,%p,25875,25877
39802,%p,25875,25878
39803,%p,25875,25879
39804,%p,25875,26009
39805,@,25876,26265
39806,@,25877,25257
39807,@,25878,25257
39808,%p,25878,26584
39809,@,25879,25258
39810,@,25880,25576
39811,%p,25880,25881
39812,%p,25880,26237
39813,@,25881,25257
39814,%p,25881,26585
39815,@,25882,26386
39816,%p,25882,25832
39817,%p,25882,25883
39818,%p,25882,25884
39819,%p,25882,25885
39820,%p,25882,26388
39821,@,25883,25176
39822,@,25884,26265
39823,@,25885,25887
39824,@,25886,25476
39825,@,25887,26019
39826,@,25888,26019
39827,@,25889,25456
39828,%p,25889,25643
39829,%p,25889,25895
39830,%p,25889,25917
39831,%p,25889,25918
39832,@,25890,25889
39833,@,25891,25889
39834,@,25893,25894
39835,@,25894,25327
39836,@,25895,25415
39837,@,25896,25895
39838,@,25897,25895
39839,@,25898,25895
39840,@,25899,25165
39841,@,25900,25905
39842,@,25901,25900
39843,@,25902,25900
39844,@,25903,26340
39845,@,25904,26340
39846,@,25905,25476
39847,@,25906,25476
39848,@,25907,25905
39849,@,25908,25907
39850,%p,25908,25903
39851,%p,25908,25904
39852,@,25910,25908
39853,@,25911,25913
39854,@,25912,25913
39855,@,25913,25917
39856,@,25914,25916
39857,@,25915,25916
39858,@,25916,25917
39859,@,25917,25918
39860,%p,25917,25893
39861,@,25918,25176
39862,@,25919,25456
39863,%p,25919,25653
39864,%p,25919,25770
39865,%p,25919,25771
39866,%p,25919,26316
39867,@,25920,25253
39868,@,25921,26317
39869,%p,25921,25409
39870,%p,25921,25922
39871,%p,25921,25923
39872,%p,25921,26106
39873,@,25922,25923
39874,@,25923,25257
39875,@,25924,25923
39876,@,25925,25176
39877,@,25926,25239
39878,@,25927,25317
39879,@,25928,25927
39880,@,25929,25928
39881,@,25930,25927
39882,@,25930,34845
39883,@,25931,25930
39884,@,25932,25930
39885,@,25933,25476
39886,%p,25933,25934
39887,@,25934,25927
39888,%p,25935,25945
39889,@,25866,25864
39890,@,25937,25935
39891,@,25938,25935
39892,@,25939,25935
39893,@,25940,37246
39894,@,25941,25935
39895,@,25942,25935
39896,@,25943,25935
39897,@,25944,25927
39898,%s,25945,63367
39899,%s,25945,63368
39900,%s,25945,63378
39901,%s,25945,64763
39902,@,25946,25945
39903,@,25947,25927
39904,%s,25947,25948
39905,@,25948,25927
39906,@,25949,25927
39907,%p,25949,26135
39908,@,25950,25927
39909,@,25951,25927
39910,@,25952,25951
39911,%p,25952,25953
39912,@,25953,59500
39913,%s,25953,63925
39914,@,25954,25951
39915,%s,25954,63925
39916,@,25956,25955
39917,%s,25956,64374
39918,%s,25956,64558
39919,%s,25956,64674
39920,@,25957,25955
39921,@,25958,25955
39922,@,25959,26723
39923,@,25960,26723
39924,@,25961,25951
39925,@,25962,25961
39926,@,25962,63756
39927,@,25963,25961
39928,@,25963,63757
39929,@,25964,25961
39930,@,25965,25961
39931,@,25966,25961
39932,@,25967,25961
39933,@,25968,25961
39934,@,25970,25961
39935,@,25971,25961
39936,@,25972,25961
39937,@,25973,25951
39938,@,25974,25973
39939,@,25974,63374
39940,@,25975,25973
39941,@,25976,25951
39942,@,25977,25951
39943,%s,25977,63362
39944,@,25978,25977
39945,@,25978,26723
39946,@,25979,25977
39947,@,25980,25977
39948,@,25981,25951
39949,%s,25981,63381
39950,@,25982,25257
39951,@,25983,25981
39952,@,25985,25951
39953,@,25986,25985
39954,@,25987,25927
39955,@,25988,25987
39956,@,25989,25977
39957,@,25990,25926
39958,@,25991,25990
39959,@,25992,25990
39960,@,25993,25992
39961,@,25994,25992
39962,@,25995,25992
