8,ὑλονόμος,a,aps---cn2-,ὑλονόμος ὑλονόμος ὑλονόμον,,,,,0
2116,α00176,αἰζήεις,a,aps---mn4i,αἰζήεις αἰζήεσσα αἰζήεν,,,,,0
2127,α00200,αἰθαλόεις,a,aps---mn4i,αἰθαλόεις αἰθαλόεσσα αἰθαλόεν,,,/ai̯.tʰa.ló.eːs/,,0
2140,α00223,αἰθεριώδης,a,aps---cn3s,αἰθεριώδης αἰθεριώδης αἰθεριώ͂δες,,,,,0
2160,α00254,αἰθός,a,aps---mn1-,αἰθός αἰθή αἰθόν,,,,,0
2167,α00262,αἰθρήεις,a,aps---mn4i,αἰθρήεις αἰθρήεσσα αἰθρήεν,,,,,0
2179,α00274,αἰθροδόνητος,a,aps---cn2-,αἰθροδόνητος αἰθροδόνητος αἰθροδόνητον,,,,,0
2191,α00289,αἰθωπός,a,aps---cn2-,αἰθωπός αἰθωπός αἰθωπόν,,,,,0
2204,α00304,αἰκιστικός,a,aps---mn1-,αἰκιστικός αἰκιστική αἰκιστικόν,,,,,0
2215,α00380,αἰλουροπρόσωπος,a,aps---cn2-,αἰλουροπρόσωπος αἰλουροπρόσωπος αἰλουροπρόσωπον,,,,,0
2233,α00408,αἱμασιολογέω,v,----------,,,,,,0
2240,α00415,αἱματηφόρος,a,aps---cn2-,αἱματηφόρος αἱματηφόρος αἱματηφόρον,,,,,0
2252,α00427,αἱματολοιχός,a,aps---cn2-,αἱματολοιχός αἱματολοιχός αἱματολοιχόν,,,,,0
2265,α00440,αἱματοχαρής,a,aps---cn5s,αἱματοχαρής αἱματοχαρής αἱματοχαρές,,,,,0
2280,α00455,αἱμόδιψος,a,aps---cn2-,αἱμόδιψος αἱμόδιψος αἱμόδιψον,,,,,0
2291,α00466,αἱμορραγής,a,aps---cn5s,αἱμορραγής αἱμορραγής αἱμορραγές,,,,,0
2299,α00474,αἱμορροϊκός,a,aps---mn1-,αἱμορροϊκός αἱμορροϊκή αἱμορροϊκόν,,,,,0
2305,α00480,αἱμόρρυτος,a,aps---cn2-,αἱμόρρυτος αἱμόρρυτος αἱμόρρυτον,,,,,0
2316,α00491,αἱμοχαρής,a,aps---cn5s,αἱμοχαρής αἱμοχαρής αἱμοχαρές,,,,,0
2331,α00506,αἱμώνιος,a,aps---cn2-,αἱμώνιος αἱμώνιος αἱμώνιον,,,,,0
2344,α00521,αἰνητός,a,aps---mn1-,αἰνητός αἰνητή αἰνητόν,,,,,0
2355,α00533,αἰνικτής,n,n-s---mn1e,αἰνικτού,,,,,0
2362,α00540,αἰνογένεθλος,a,aps---cn2-,αἰνογένεθλος αἰνογένεθλος αἰνογένεθλον,,,,,0
2374,α00552,αἰνολεχής,a,aps---cn5s,αἰνολεχής αἰνολεχής αἰνολεχές,,,,,0
2387,α00565,αἰνόποτμος,a,aps---cn2-,αἰνόποτμος αἰνόποτμος αἰνόποτμον,,,,,0
2417,α00623,αἰολοδείκτης,n,n-s---mn1e,αἰολοδείκτου,,,,,0
2423,α00629,αἰολόμολπος,a,aps---cn2-,αἰολόμολπος αἰολόμολπος αἰολόμολπον,,,,,0
2434,α00640,αἰολόφυλος,a,aps---cn2-,αἰολόφυλος αἰολόφυλος αἰολόφυλον,,,,,0
2448,α00658,αἰπολικός,a,aps---mn1-,αἰπολικός αἰπολική αἰπολικόν,,,,,0
2466,α00679,αἱρεσιομάχος,a,aps---cn2-,αἱρεσιομάχος αἱρεσιομάχος αἱρεσιομάχον,,,,,0
2483,α00704,αἰρώδης,a,aps---cn3s,αἰρώδης αἰρώδης αἰρώ͂δες,,,,,0
2493,α00715,αἰσθητικός,a,aps---mn1-,αἰσθητικός αἰσθητική αἰσθητικόν,,,/ai̯s.tʰɛː.ti.kós/,,0
2553,α00778,αἰσχρός,a,aps---mn1-,αἰσχρός αἰσχρά αἰσχρόν,,,/ai̯s.kʰrós/,,0
2519,α00744,αἰσυμνητήρ,n,n-s---mn3r,αἰσυμνητῆρος,,,,,0
2527,α00752,αἰσχρήμων,a,aps---cn3n,αἰσχρήμων αἰσχρήμων αἰσχρήμον,,,,,0
2535,α00760,αἰσχροκερδής,a,aps---cn5s,αἰσχροκερδής αἰσχροκερδής αἰσχροκερδές,,,,,0
2543,α00768,αἰσχροπαθής,a,aps---cn5s,αἰσχροπαθής αἰσχροπαθής αἰσχροπαθές,,,,,0
2552,α00777,αἰσχρορρήμων,a,aps---cn2-,αἰσχρορρήμων αἰσχρορρήμων αἰσχροπρόσωπον,,,,,0
2562,α00786,αἰσχυνομένη,n,n-s---fn1e,αἰσχυνομένης,,,,,0
2569,α00793,αἰσχυντικός,a,aps---mn1-,αἰσχυντικός αἰσχυντική αἰσχυντικόν,,,,,0
2584,α00855,αἰτητικός,a,aps---mn1-,αἰτητικός αἰτητική αἰτητικόν,,,,,0
2597,α00869,αἰτιολογία,n,n-s---fn1l,αἰτιολογίας,,,,,0
2610,α01322,αἰφνίδιος,a,aps---cn2-,αἰφνίδιος αἰφνίδιος αἰφνίδιον,,,,,0
2620,α01348,αἰχμάλωτος,a,aps---cn2-,αἰχμάλωτος αἰχμάλωτος αἰχμάλωτον,,,/ai̯kʰ.má.lɔː.tos/,,0
2630,α01371,αἰψηροκέλευθος,a,aps---cn2-,αἰψηροκέλευθος αἰψηροκέλευθος αἰψηροκέλευθον,,,,,0
2650,α03317,ἀκαθαίρετος,a,aps---cn2-,ἀκαθαίρετος ἀκαθαίρετος ἀκαθαίρετον,,,,,0
2658,α03325,ἀκαθυπερτέρητος,a,aps---cn2-,ἀκαθυπερτέρητος ἀκαθυπερτέρητος ἀκαθυπερτέρητον,,,,,0
2671,α03338,ἀκαιροπαρρησιαστής,n,n-s---mn1e,ἀκαιροπαρρησιαστού,,,,,0
2684,α03351,ἀκακούργητος,a,aps---cn2-,ἀκακούργητος ἀκακούργητος ἀκακούργητον,,,,,0
2698,α03365,ἀκαμαντολόγχας,n,n-s---mn1a,ἀκαμαντολόγχου,,,,,0
2712,α03379,ἄκαμπτος,a,aps---cn2-,ἄκαμπτος ἄκαμπτος ἄκαμπτον,,,,,0
2723,α03390,ἀκάνθινος,a,aps---mn1-,ἀκάνθινος ἀκανθίνη ἀκάνθινον,,,,,0
2734,α03401,ἄκανθος,n,n-s---mn2-,ἀκάνθου,,,/á.kan.tʰos/,,0
2740,α03407,ἀκανθόφυλλος,a,aps---cn2-,ἀκανθόφυλλος ἀκανθόφυλλος ἀκανθόφυλλον,,,,,0
2764,α03431,ἀκάρπιστος,a,aps---cn2-,ἀκάρπιστος ἀκάρπιστος ἀκάρπιστον,,,,,0
2775,α03442,ἀκατάβλητος,a,aps---cn2-,ἀκατάβλητος ἀκατάβλητος ἀκατάβλητον,,,,,0
2783,α03450,ἀκαταδούλωτος,a,aps---cn2-,ἀκαταδούλωτος ἀκαταδούλωτος ἀκαταδούλωτον,,,,,0
2809,α03475,ἀκατανέμητος,a,aps---cn2-,ἀκατανέμητος ἀκατανέμητος ἀκατανέμητον,,,,,0
2819,α03485,ἀκαταπράϋντος,a,aps---cn2-,ἀκαταπράϋντος ἀκαταπράϋντος ἀκαταπράϋντον,,,,,0
2829,α03495,ἀκατασόφιστος,a,aps---cn2-,ἀκατασόφιστος ἀκατασόφιστος ἀκατασόφιστον,,,,,0
2839,α03505,ἀκατάσχετος,a,aps---cn2-,ἀκατάσχετος ἀκατάσχετος ἀκατάσχετον,,,,,0
2848,α03514,ἀκατάχρηστος,a,aps---cn2-,ἀκατάχρηστος ἀκατάχρηστος ἀκατάχρηστον,,,,,0
2859,α03525,ἀκατόπτευτος,a,aps---cn2-,ἀκατόπτευτος ἀκατόπτευτος ἀκατόπτευτον,,,,,0
2882,α03548,ἀκενόσπουδος,a,aps---cn2-,ἀκενόσπουδος ἀκενόσπουδος ἀκενόσπουδον,,,,,0
2894,α03560,ἀκέρατος,a,aps---cn2-,ἀκέρατος ἀκέρατος ἀκέρατον,,,,,0
2905,α03571,ἄκερχνος,a,aps---cn2-,ἄκερχνος ἄκερχνος ἄκερχνον,,,,,0
2916,α03582,ἀκεσσίνοσος,a,aps---cn2-,ἀκεσσίνοσος ἀκεσσίνοσος ἀκεσσίνοσον,,,,,0
2943,α03609,ἀκήδεστος,a,aps---cn2-,ἀκήδεστος ἀκήδεστος ἀκήδεστον,,,,,0
2954,α03620,ἀκήπευτος,a,aps---cn2-,ἀκήπευτος ἀκήπευτος ἀκήπευτον,,,,,0
2966,α03632,ἀκιβδήλευτος,a,aps---cn2-,ἀκιβδήλευτος ἀκιβδήλευτος ἀκιβδήλευτον,,,,,0
2995,α03661,ἀκκίζομαι,v,----------,,,,,,0
3001,α03667,ἄκλαστος,a,aps---cn2-,ἄκλαστος ἄκλαστος ἄκλαστον,,,,,0
3011,α03677,ἀκλήιστος,a,aps---cn2-,ἀκλήιστος ἀκλήιστος ἀκλήιστον,,,,,0
3022,α03687,ἄκλητος,a,aps---cn2-,ἄκλητος ἄκλητος ἄκλητον,,,,,0
3030,α03696,ἀκλυδώνιστος,a,aps---cn2-,ἀκλυδώνιστος ἀκλυδώνιστος ἀκλυδώνιστον,,,,,0
3039,α03705,ἀκμαστικός,a,aps---mn1-,ἀκμαστικός ἀκμαστική ἀκμαστικόν,,,,,0
24684,δ02711,διαφρίσσω,v,----------,,,,,,0
39480,,Ξ,v,----------,,,,,,0
3053,α03719,ἄκνησμος,a,aps---cn2-,ἄκνησμος ἄκνησμος ἄκνησμον,,,,,0
3064,α03730,ἀκοίμητος,a,aps---cn2-,ἀκοίμητος ἀκοίμητος ἀκοίμητον,,,,,0
3078,α03745,ἀκολάστημα,n,n-s---nn3t,ἀκολαστήματος,,,,,0
3096,α03763,ἀκόλυμβος,a,aps---cn2-,ἀκόλυμβος ἀκόλυμβος ἀκόλυμβον,,,,,0
3106,α03773,ἀκόνδυλος,a,aps---cn2-,ἀκόνδυλος ἀκόνδυλος ἀκόνδυλον,,,,,0
3123,α03790,ἀκόντιον,n,n-s---nn2-,ἀκοντίου,,,,,0
3129,α03796,ἀκοντιστήριον,n,n-s---nn2-,ἀκοντιστηρίου,,,,,0
3143,α03810,ἀκόπριστος,a,aps---cn2-,ἀκόπριστος ἀκόπριστος ἀκόπριστον,,,,,0
3158,α03825,ἀκοσκίνευτος,a,aps---cn2-,ἀκοσκίνευτος ἀκοσκίνευτος ἀκοσκίνευτον,,,,,0
3175,α03842,ἀκουσιάζομαι,v,----------,,,,,,0
3195,α03862,ἀκραής,a,aps---cn5s,ἀκραής ἀκραής ἀκραές,,,/a.kraː.ɛ̌ːs/,,0
3205,α03872,ἀκρασίων,n,n-s---mn3n,ἀκρασίωνος,,,,,0
3210,α03877,ἀκρατευτικός,a,aps---mn1-,ἀκρατευτικός ἀκρατευτική ἀκρατευτικόν,,,,,0
3224,α03891,ἀκρατοπότης,n,n-s---mn1e,ἀκρατοπότου,,,,,0
3238,α03905,ἀκρεσπέριος,a,aps---cn2-,ἀκρεσπέριος ἀκρεσπέριος ἀκρεσπέριον,,,,,0
3252,α03919,ἀκρίβεια,n,n-s---fn1s,ἀκρίβειας,,,,,0
3259,α03926,ἀκριβολόγος,a,aps---cn2-,ἀκριβολόγος ἀκριβολόγος ἀκριβολόγον,,,,,0
3268,α03936,ἀκριδώδης,a,aps---cn3s,ἀκρι<δ>ώδης ἀκρι<δ>ώδης ἀκρι<δ>ώ͂δες,,,,,0
3281,α03948,ἀκριτόμυθος,a,aps---cn2-,ἀκριτόμυθος ἀκριτόμυθος ἀκριτόμυθον,,,,,0
3295,α03963,ἀκροατικός,a,aps---mn1-,ἀκροατικός ἀκροατική ἀκροατικόν,,,/a.kro.aː.ti.kós/,,0
3308,α03975,ἀκρόβλαστος,a,aps---cn2-,ἀκρόβλαστος ἀκρόβλαστος ἀκρόβλαστον,,,,,0
3318,α03985,ἀκρόβολος,a,aps---cn2-,ἀκρόβολος ἀκρόβολος ἀκρόβολον,,,,,0
3325,α03992,ἀκρογωνιαῖος,a,aps---mn1-,ἀκρογωνιαῖος ἀκρογωνιαῖα ἀκρογωνιαῖον,,,,,0
3339,α04006,ἀκρόκαρπος,a,aps---cn2-,ἀκρόκαρπος ἀκρόκαρπος ἀκρόκαρπον,,,,,0
3344,α04011,ἀκροκνέφαιος,a,aps---cn2-,ἀκροκνέφαιος ἀκροκνέφαιος ἀκροκνέφαιον,,,,,0
3358,α04025,ἀκρόλοφος,a,aps---cn2-,ἀκρόλοφος ἀκρόλοφος ἀκρόλοφον,,,,,0
3369,α04036,ἀκρονιφής,a,aps---cn5s,ἀκρονιφής ἀκρονιφής ἀκρονιφές,,,,,0
3391,α04058,ἀκρόπολις,n,n-s---fn3v,ἀκροπολέως,,,/a.kró.po.lis/,,0
3402,α04069,ἄκροπτυξ,n,----------,,,,,,0
3406,α04073,ἄκρος,a,aps---mn1-,ἄκρος ἄκρα ἄκρον,,aps---cn2-=ἄκρος aps---cn2-=ἄκρος aps---nn2-=ἄκρον,/á.kros/,,0
3418,α04085,ἀκροσφαλής,a,aps---cn5s,ἀκροσφαλής ἀκροσφαλής ἀκροσφαλές,,,,,0
3433,α04100,ἀκροφαής,a,aps---cn5s,ἀκροφαής ἀκροφαής ἀκροφαές,,,,,0
3442,α04109,ἀκροχανής,a,aps---cn5s,ἀκροχανής ἀκροχανής ἀκροχανές,,,,,0
3449,α04116,ἀκροχερσίτης,n,n-s---mn1e,ἀκροχερσίτου,,,,,0
3462,α04129,ἀκρωνυχία,n,n-s---fn1l,ἀκρωνυχίας,,,,,0
3469,α04136,ἀκρωτηριασμός,n,----------,,,,,,0
3476,α04144,ἀκταῖος,a,aps---mn1-,ἀκταῖος ἀκταῖα ἀκταῖον,,aps---cn2-=ἀκταῖος aps---cn2-=ἀκταῖος aps---nn2-=ἀκταῖον,,,0
3483,α04151,ἀκτερέϊστος,a,aps---cn2-,ἀκτερέϊστος ἀκτερέϊστος ἀκτερέϊστον,,,,,0
3498,α04165,ἀκτινοβολία,n,n-s---fn1l,ἀκτινοβολίας,,,,,0
3504,α04171,ἀκτινοφόρος,a,aps---cn2-,ἀκτινοφόρος ἀκτινοφόρος ἀκτινοφόρον,,,,,0
3517,α04184,ἀκύβευτος,a,aps---cn2-,ἀκύβευτος ἀκύβευτος ἀκύβευτον,,,,,0
3537,α04204,ἀκυρολόγητος,a,aps---cn2-,ἀκυρολόγητος ἀκυρολόγητος ἀκυρολόγητον,,,,,0
3555,α04223,ἀκώνητος,a,aps---cn2-,ἀκώνητος ἀκώνητος ἀκώνητον,,,,,0
3563,α04231,ἀλαβάστρινος,a,aps---mn1-,ἀλαβάστρινος ἀλαβαστρίνη ἀλαβάστρινον,,,,,0
3578,α04246,ἀλαζονίας,a,----------,,,,,,0
3589,α04258,ἀλάλαγμα,n,n-s---nn3t,ἀλαλάγματος,,,,,0
3599,α04268,ἀλαλία,n,n-s---fn1l,ἀλαλίας,,,,,0
3607,α04272,ἀλαλύκτημαι,v,----------,,,,,,0
3614,α04280,ἀλαοτόκος,a,aps---cn2-,ἀλαοτόκος ἀλαοτόκος ἀλαοτόκον,,,,,0
3626,α04293,ἁλάτινος,a,aps---mn1-,ἁλάτινος ἁλατίνη ἁλάτινον,,,,,0
3635,α04302,ἀλγεσίδωρος,a,aps---cn2-,ἀλγεσίδωρος ἀλγεσίδωρος ἀλγεσίδωρον,,,,,0
3643,α04310,ἀλγινόεις,a,aps---mn4i,ἀλγινόεις ἀλγινόεσσα ἀλγινόεν,,,,,0
3662,α04329,ἀλέαντος,a,aps---cn2-,ἀλέαντος ἀλέαντος ἀλέαντον,,,,,0
3675,α04342,ἀλείαντος,a,aps---cn2-,ἀλείαντος ἀλείαντος ἀλείαντον,,,,,0
3684,α04351,ἀλειπτικός,a,aps---mn1-,ἀλειπτικός ἀλειπτική ἀλειπτικόν,,,,,0
3710,α04377,ἀλεκτοροφωνία,n,n-s---fn1l,ἀλεκτοροφωνίας,,,,,0
3718,α04385,ἀλεκτρυονοτρόφος,n,n-s---mn2-,ἀλεκτρυονοτρόφου,,,,,0
3728,α04396,ἀλεξαίθριος,a,aps---cn2-,ἀλεξαίθριος ἀλεξαίθριος ἀλεξαίθριον,,,,,0
3741,α04405,ἀλεξητικός,a,aps---mn1-,ἀλεξητικός ἀλεξητική ἀλεξητικόν,,,,,0
3746,α04410,ἀλεξίκακος,a,aps---cn2-,ἀλεξίκακος ἀλεξίκακος ἀλεξίκακον,,,,,0
3758,α04422,ἀλεόφρων,a,aps---cn3n,ἀλεόφρων ἀλεόφρων ἀλεόφρον,,,,,0
3769,α04433,ἀλετικός,a,aps---mn1-,ἀλετικός ἀλετική ἀλετικόν,,,,,0
3781,α04445,ἀλευρομαντεῖον,n,n-s---nn2-,ἀλευρομαντείου,,,,,0
3788,α04452,ἀλευρόττησις,n,n-s---fn3v,ἀλευροττησέως,,,,,0
3802,α04467,ἀληθευτικός,a,aps---mn1-,ἀληθευτικός ἀληθευτική ἀληθευτικόν,,,,,0
3815,α04479,ἀληθόμυθος,a,aps---cn2-,ἀληθόμυθος ἀληθόμυθος ἀληθόμυθον,,,,,0
3828,α04491,ἀλήπεδον,n,n-s---nn2-,ἀληπέδου,,,,,0
3834,α04497,ἀλησμόνητος,a,aps---cn2-,ἀλησμόνητος ἀλησμόνητος ἀλησμόνητον,,,,,0
3860,α04522,ἁλιαδίτης,n,n-s---mn1e,ἁλιαδίτου,,,,,0
3871,α04532,ἁλιαστάς,n,----------,,,,,,0
3877,α04538,ἁλιβαφής,a,aps---cn5s,ἁλιβαφής ἁλιβαφής ἁλιβαφές,,,,,0
3890,α04551,ἁλίδουπος,a,aps---cn2-,ἁλίδουπος ἁλίδουπος ἁλίδουπον,,,,,0
3912,α04572,ἁλιηχής,a,aps---cn5s,ἁλιηχής ἁλιηχής ἁλιηχές,,,,,0
3919,α04578,ἁλίκλυστος,a,aps---cn2-,ἁλίκλυστος ἁλίκλυστος ἁλίκλυστον,,,,,0
3935,α04594,ἁλιμοκτόνον,n,----------,,,,,,0
3943,α04602,ἀλινδήθρα,n,n-s---fn1l,ἀλινδήθρας,,,,,0
4048,α04699,ἀλκιβιάδειον,n,n-s---nn2-,ἀλκιβιαδείου,,,,,0
3964,α04622,ἁλίπλανος,a,aps---cn2-,ἁλίπλανος ἁλίπλανος ἁλίπλανον,,,,,0
3973,α04631,ἁλιπτοίητος,a,aps---cn2-,ἁλιπτοίητος ἁλιπτοίητος ἁλιπτοίητον,,,,,0
3988,α04646,ἄλισμα,n,n-s---nn3d,ἀλίσματος,,,/á.liz.ma/,,0
3994,α04652,ἁλίστονος,a,aps---cn2-,ἁλίστονος ἁλίστονος ἁλίστονον,,,,,0
4001,α04659,ἀλιτάνευτος,a,aps---cn2-,ἀλιτάνευτος ἀλιτάνευτος ἀλιτάνευτον,,,,,0
4017,α04675,ἁλιτρεφής,a,aps---cn5s,ἁλιτρεφής ἁλιτρεφής ἁλιτρεφές,,,,,0
4026,α04684,ἁλίτρυτος,a,aps---cn2-,ἁλίτρυτος ἁλίτρυτος ἁλίτρυτον,,,,,0
4035,α04688,ἁλίχλαινος,a,aps---cn2-,ἁλίχλαινος ἁλίχλαινος ἁλίχλαινον,,,,,0
4053,α04704,ἄλκιμος,a,aps---cn2-,ἄλκιμος ἄλκιμος ἄλκιμον,,aps---mn1-=ἄλκιμος aps---fn1-=ἄλκιμα aps---nn1-=ἄλκιμον,,,0
4071,α04724,ἀλλακτός,a,aps---mn1-,ἀλλακτός ἀλλακτή ἀλλακτόν,,,,,0
4083,α04735,ἀλλαττόλογος,a,aps---cn2-,ἀλλαττόλογος ἀλλαττόλογος ἀλλαττόλογον,,,,,0
4097,α04747,ἀλληγορικός,a,aps---mn1-,ἀλληγορικός ἀλληγορική ἀλληγορικόν,,,,,0
4116,α04766,ἀλληλοπάθεια,n,n-s---fn1s,ἀλληλοπάθειας,,,,,0
4125,α04774,ἀλληλοφθονία,n,n-s---fn1l,ἀλληλοφθονίας,,,,,0
4132,α04781,ἀλληλοφυής,a,aps---cn5s,ἀλληλοφυής ἀλληλοφυής ἀλληλοφυές,,,,,0
4144,α04795,ἀλλογνώμων,a,aps---cn3n,ἀλλογνώμων ἀλλογνώμων ἀλλογνώμον,,,,,0
4161,α04812,ἀλλοιόμορφος,a,aps---cn2-,ἀλλοιόμορφος ἀλλοιόμορφος ἀλλοιόμορφον,,,,,0
4170,α04820,ἀλλοιόχροος,a,aps---cn2-,ἀλλοιόχροος ἀλλοιόχροος ἀλλοιόχροον,,ἀλλοιόχρους ἀλλοιόχρους ἀλλοιόχρουν,,,0
4196,α04846,ἀλλοτριάζω,v,----------,,,,,,0
4197,α04847,ἀλλοτριόγνωμος,a,aps---cn2-,ἀλλοτριόγνωμος ἀλλοτριόγνωμος ἀλλοτριόγνωμον,,,,,0
4204,α04854,ἀλλοτριοπραγία,n,n-s---fn1l,ἀλλοτριοπραγίας,,,,,0
